# YOLOv7-Tiny Module Tree
# Generated: 2025-12-24 15:33:52
# Total modules: 263
====================================================================================================
Index  Name                                               Type                               Params
154    model.47.act                                       LeakyReLU                               0
155    model.48                                           Conv                                8,320
156    model.48.conv                                      Conv2d                              8,192
157    model.48.bn                                        BatchNorm2d                           128
158    model.48.act                                       LeakyReLU                               0
159    model.49                                           Upsample                                0
160    model.50                                           Conv                                8,320
161    model.50.conv                                      Conv2d                              8,192
162    model.50.bn                                        BatchNorm2d                           128
163    model.50.act                                       LeakyReLU                               0
164    model.51                                           Concat                                  0
165    model.52                                           Conv                                4,160
166    model.52.conv                                      Conv2d                              4,096
167    model.52.bn                                        BatchNorm2d                            64
168    model.52.act                                       LeakyReLU                               0
169    model.53                                           Conv                                4,160
170    model.53.conv                                      Conv2d                              4,096
171    model.53.bn                                        BatchNorm2d                            64
172    model.53.act                                       LeakyReLU                               0
173    model.54                                           Conv                                9,280
174    model.54.conv                                      Conv2d                              9,216
175    model.54.bn                                        BatchNorm2d                            64
176    model.54.act                                       LeakyReLU                               0
177    model.55                                           Conv                                9,280
178    model.55.conv                                      Conv2d                              9,216
179    model.55.bn                                        BatchNorm2d                            64
180    model.55.act                                       LeakyReLU                               0
181    model.56                                           Concat                                  0
182    model.57                                           Conv                                8,320
183    model.57.conv                                      Conv2d                              8,192
184    model.57.bn                                        BatchNorm2d                           128
185    model.57.act                                       LeakyReLU                               0
186    model.58                                           Conv                               73,984
187    model.58.conv                                      Conv2d                             73,728
188    model.58.bn                                        BatchNorm2d                           256
189    model.58.act                                       LeakyReLU                               0
190    model.59                                           Concat                                  0
191    model.60                                           Conv                               16,512
192    model.60.conv                                      Conv2d                             16,384
193    model.60.bn                                        BatchNorm2d                           128
194    model.60.act                                       LeakyReLU                               0
195    model.61                                           Conv                               16,512
196    model.61.conv                                      Conv2d                             16,384
197    model.61.bn                                        BatchNorm2d                           128
198    model.61.act                                       LeakyReLU                               0
199    model.62                                           Conv                               36,992
200    model.62.conv                                      Conv2d                             36,864
201    model.62.bn                                        BatchNorm2d                           128
202    model.62.act                                       LeakyReLU                               0
203    model.63                                           Conv                               36,992
204    model.63.conv                                      Conv2d                             36,864
205    model.63.bn                                        BatchNorm2d                           128
206    model.63.act                                       LeakyReLU                               0
207    model.64                                           Concat                                  0
208    model.65                                           Conv                               33,024
209    model.65.conv                                      Conv2d                             32,768
210    model.65.bn                                        BatchNorm2d                           256
211    model.65.act                                       LeakyReLU                               0
212    model.66                                           Conv                              295,424
213    model.66.conv                                      Conv2d                            294,912
214    model.66.bn                                        BatchNorm2d                           512
215    model.66.act                                       LeakyReLU                               0
216    model.67                                           Concat                                  0
217    model.68                                           Conv                               65,792
218    model.68.conv                                      Conv2d                             65,536
219    model.68.bn                                        BatchNorm2d                           256
220    model.68.act                                       LeakyReLU                               0
221    model.69                                           Conv                               65,792
222    model.69.conv                                      Conv2d                             65,536
223    model.69.bn                                        BatchNorm2d                           256
224    model.69.act                                       LeakyReLU                               0
225    model.70                                           Conv                              147,712
226    model.70.conv                                      Conv2d                            147,456
227    model.70.bn                                        BatchNorm2d                           256
228    model.70.act                                       LeakyReLU                               0
229    model.71                                           Conv                              147,712
230    model.71.conv                                      Conv2d                            147,456
231    model.71.bn                                        BatchNorm2d                           256
232    model.71.act                                       LeakyReLU                               0
233    model.72                                           Concat                                  0
234    model.73                                           Conv                              131,584
235    model.73.conv                                      Conv2d                            131,072
236    model.73.bn                                        BatchNorm2d                           512
237    model.73.act                                       LeakyReLU                               0
238    model.74                                           Conv                               73,984
239    model.74.conv                                      Conv2d                             73,728
240    model.74.bn                                        BatchNorm2d                           256
241    model.74.act                                       LeakyReLU                               0
242    model.75                                           Conv                              295,424
243    model.75.conv                                      Conv2d                            294,912
244    model.75.bn                                        BatchNorm2d                           512
245    model.75.act                                       LeakyReLU                               0
246    model.76                                           Conv                            1,180,672
247    model.76.conv                                      Conv2d                          1,179,648
248    model.76.bn                                        BatchNorm2d                         1,024
249    model.76.act                                       LeakyReLU                               0
250    model.77                                           IDetect                           230,906
251    model.77.m                                         ModuleList                        229,245
252    model.77.m.0                                       Conv2d                             32,895
253    model.77.m.1                                       Conv2d                             65,535
254    model.77.m.2                                       Conv2d                            130,815
255    model.77.ia                                        ModuleList                            896
256    model.77.ia.0                                      ImplicitA                             128
257    model.77.ia.1                                      ImplicitA                             256
258    model.77.ia.2                                      ImplicitA                             512
259    model.77.im                                        ModuleList                            765
260    model.77.im.0                                      ImplicitM                             255
261    model.77.im.1                                      ImplicitM                             255
262    model.77.im.2                                      ImplicitM                             255
